Category,Name,Address,Suburb,State,Postcode,Phone,Fax,Email,Website,Staff,Established,ABN,ABN_Status,ABN_Type,ABN_Accuracy
Religious Organisations,Buddhist Society Of Western Australia (Inc),287 Reen Rd,Gidgegannup,WA,6083,(08) 9574 6583,,,,,,22 382 478 365,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Bush Church Aid Society,30 Croydon Rd,Keswick,SA,5035,(08) 8351 5950,,,,,,38 434 490 314,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Bush Church Aid Society,1 Burgundy St,Heidelberg,VIC,3084,(03) 9457 7556,,,www.bushchurchaid.com.au,,,38 434 490 314,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Caleb Ministries Inc,33 Blackburn Rd,Blackburn,VIC,3130,1300 767 444,,,,,,56 517 850 119,Active,Entity Name (Historic),25% ABN Accuracy
Religious Organisations,Calvary Worship Centre,Shop 20 Springvale Plaza 792-806 Heatherton Rd,Springvale,VIC,3171,(03) 9547 4787,,,,,,83 386 320 815,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Chabad House of Bentleigh,13-17 Cecil St,Bentleigh East,VIC,3165,(03) 9563 7935,,,,,,50 203 376 804,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Chabad House Of Malvern,316 Glenferrie Rd,Armadale,VIC,3143,(03) 9822 4985,,,,,,31 899 232 724,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Challenge Literature Fellowship (Aust),59B Kelvin Rd,Wattle Grove,WA,6107,(08) 9453 3311,,john@challengenews.org,http://www.challengenews.org,,,98 206 125 814,Active,Trading Name,25% ABN Accuracy
Religious Organisations,Child Evangelism Fellowship,7 High St,Sheffield,TAS,7306,(03) 6491 1369,,,,,,27 003 210 624,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Child Evangelism Fellowship,1089 Riversdale Rd,Surrey Hills,VIC,3127,(03) 9808 6561,,,,,,27 003 210 624,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Chinese Christian Association of Australia,1027 Whitehorse Rd,Box Hill,VIC,3128,(03) 9899 3207,,,,,,22 613 345 483,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Chinese Christian Church Of Victoria Inc,67 Springvale Rd,Nunawading,VIC,3131,(03) 9878 2368,,,,,,70 972 235 132,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Christ Embassy,Paget St,Hilton,WA,6163,0404 792 087,,kesfrance@yahoo.com,,,,79 162 839 787,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Christian & Missionary Alliance,Cnr Montague Rd and Dwight St,Modbury,SA,5092,(08) 8396 2232,,,,,,72 368 044 741,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Church Of Jesus Christ Of Latter Day Saints,Ollerton Ave,Newborough,VIC,3825,(03) 5127 3429,,,,,,87 586 411 904,Active,Entity Name (Historic),25% ABN Accuracy
Religious Organisations,Church Of Jesus Christ Of Latter-Day-Saints,628 Canterbury Rd,Mitcham,VIC,3132,(03) 8872 5600,,,,,,87 586 411 904,Active,Entity Name (Historic),25% ABN Accuracy
Religious Organisations,Church On the Rock,180-184 Bathurst St,Hobart,TAS,7000,0448 441 684,,,,,,15 629 317 950,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Churches Commission on Education,272 Selby St,Wembley,WA,6014,(08) 9383 9377,,,,,,70 172 899 396,Active,Entity Name,25% ABN Accuracy
Religious Organisations,City on a Hill: Melbourne,Level 3/ 211 La Trobe St,Melbourne,VIC,3000,(03) 9640 0990,,info@cityonahill.com.au,http://www.cityonahill.com.au,,,43 292 063 559,Active,Entity Name,25% ABN Accuracy
Religious Organisations,City Revival Ministries,44 Memorial Dr,Noble Park,VIC,3174,0401 183 147,,josehnry@gmail.com,http://www.cityrevivalministries.org,,,52 052 772 552,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Council For Christian Education,Level 5/ 695 Burke Rd,Camberwell,VIC,3124,(03) 9804 0733,,,,,,43 139 580 746,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Dallas Welfare & Youth Services Inc,26 Millewa Crst,Dallas,VIC,3047,(03) 9302 2402,,,,,,39 851 031 355,Active,Entity Name,25% ABN Accuracy
Religious Organisations,David Glory Group,Level 50 101 Collins St,Melbourne,VIC,3000,(03) 9653 9633,,,,,,38 060 005 076,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Esperance Church Of Christ Christian Fellowship inc.,19 Milner St,Esperance,WA,6450,(08) 9071 7173,,laurencebeach@hotmail.com,,,,49 789 107 208,Active,Trading Name,25% ABN Accuracy
Religious Organisations,Evangelical Alliance Inc,44 Rutland Rd,Box Hill,VIC,3128,(03) 9890 0633,,,,,,54 056 007 820,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Federation Of Australian Buddhist Councils,,Footscray West,VIC,3012,0432 408 756,,,www.buddhistcouncil.org.au,,,65 862 613 089,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Freedom Church,8 Kaloorup Rd,Vasse,WA,6280,0401 319 747,,thomasgcooper@hotmail.com,http://www.freedomchurchsouthwest.com,,,89 332 704 878,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Grace Lutheran Church,15 Wembley Ave,Bridgewater,SA,5155,(08) 8339 3375,,,,,,63 176 797 960,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Hamilton Hill Bible Church,56-60 Redmond Rd,Hamilton Hill,WA,6163,(08) 9314 1891,,,,,,53 415 231 227,Active,Entity Name (Historic),25% ABN Accuracy
Religious Organisations,Hare Krishna Movement,197 Danks St,Albert Park,VIC,3206,(03) 9699 5122,,,,,,53 390 638 202,Active,Entity Name (Historic),25% ABN Accuracy
Religious Organisations,Holy Spirit Catholic Church,147 Seperation St,Bell Park,VIC,3215,(03) 5278 1343,,,,,,60 144 969 790,Active,Entity Name,25% ABN Accuracy
Religious Organisations,I AM Temple Saint Germain Foundation Inc.,3rd Floor/ 358 Lonsdale St,Melbourne,VIC,3000,(03) 9602 1988,,,,,,35 916 254 292,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Independent Church of Australia,,Glen Waverley,VIC,3150,(03) 9562 1333,,,,,,54 007 507 002,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Initiatives of Change,226 Kooyong Rd,Toorak,VIC,3142,(03) 9822 1218,,,,,,22 004 350 789,Active,Entity Name,25% ABN Accuracy
Religious Organisations,International Gospel Centre,112 Glenroy St,Athol Park,SA,5012,(08) 8300 7311,,,,,,97 277 524 707,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Interserve (Australia),28 Croydon Rd,Keswick,SA,5035,(08) 8293 2900,,,,,,12 041 298 204,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Iscast,300 Huntingdale Rd,Huntingdale,VIC,3166,(02) 9385 4584,,,,,,11 003 429 338,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Islamic Co-Ordinating Council of Victoria,155 Lygon St,Brunswick East,VIC,3057,(03) 9380 6143,,,,,,60 284 069 184,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Islamic Society of Melbourne Eastern Region,1273 Wellington Rd,Lysterfield,VIC,3156,(03) 9752 9977,,,,,,36 974 270 612,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Jewish Learning Centre,338 Greenhill Rd,Glenside,SA,5065,0403 816 626,,,,,,58 075 310 575,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Jewish National Fund,61 Woodrow Ave,Yokine,WA,6060,(08) 9275 2761,,,,,,32 108 796 878,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Kagyu E-Vam Buddhist Institute,673 Lygon St,Carlton North,VIC,3054,(03) 9387 3118,,,,,,30 414 677 915,Active,Trading Name,25% ABN Accuracy
Religious Organisations,Khesed Ministries,Latimer Way,Langford,WA,6147,(08) 9451 7213,,,,,,93 136 869 323,Active,Trading Name,25% ABN Accuracy
Religious Organisations,Kingdomcity Perth,15 Finlay Pl,Wangara,WA,6065,(08) 9309 4818,,,Visit Our Website,,,97 787 651 869,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Knights Of The Southern Cross (S.A.) Incorporated,336 Marion Rd,North Plympton,SA,5037,(08) 8371 3301,,,,,,66 020 002 957,Active,Entity Name,25% ABN Accuracy
Religious Organisations,KPMG TRUST,Suite 11/ 1101 Hay St,West Perth,WA,6005,(08) 6558 0457,,info@kpmgtrust.com,http://www.kpmgtrust.com,,,43 841 587 842,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Legion Of Mary,36 Windsor St,Perth,WA,6000,(08) 9328 2726,,,,,,48 936 250 135,Active,Entity Name (Historic),25% ABN Accuracy
Religious Organisations,Legion Of Mary Senatus Of Melbourne,456 Queensberry St,North Melbourne,VIC,3051,(03) 9328 4757,,,,,,36 742 986 516,Active,Entity Name,25% ABN Accuracy
Religious Organisations,LifeWorks Relationship Counselling & Education Services,1 Johnson Ave,Hoppers Crossing,VIC,3029,(03) 9974 3200,,,,,,50 071 373 950,Active,DGR Name (Historic),25% ABN Accuracy
Religious Organisations,LifeWorks Relationship Counselling & Education Services,1/ 666 Mountain Hwy,Bayswater,VIC,3153,(03) 8650 6200,,lifeworks@lifeworks.com.au,http://www.lifeworks.com.au,,,50 071 373 950,Active,DGR Name (Historic),25% ABN Accuracy
Religious Organisations,Lutheran Media,197 Archer St,North Adelaide,SA,5006,(08) 8267 7314,,luthmedia@lca.org.au,www.lutheranmedia.org.au,,,99 476 253 356,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Melbourne Christian Disciples Church,15 Ellingworth Parade,Box Hill,VIC,3128,0425 125 051,,,,,,82 650 537 103,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Melbourne Thai Buddhist Temple,489 Elgar Rd,Box Hill,VIC,3128,(03) 9899 0883,,,,,,85 556 874 186,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Middle East Christian Outreach,5 Court St,Box Hill,VIC,3128,(03) 9898 0077,,,,,,59 615 943 131,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Missionary Training College,Station Rd,St Leonards,TAS,7250,(03) 6337 0444,,,,,,22 000 637 749,Active,Business Name (Historic),25% ABN Accuracy
Religious Organisations,Mountain District Vineyard Church,,suppressed,suppressed,,(03) 9738 0065,,a_day@tpg.com.au,http://www.mountaindistrictchurch.com.au,,,15 750 817 016,Active,Entity Name,25% ABN Accuracy
Religious Organisations,MST Melbourne School of Theology,5 Burwood Hwy,Wantirna,VIC,3152,(03) 9881 7800,,,,,,58 004 265 016,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Nations Church,10 Hayden Ct,Myaree,WA,6154,(08) 9330 8306,,info@nationschurch.com,http://www.nationschurch.com,,,20 739 138 976,Active,Entity Name,25% ABN Accuracy
Religious Organisations,New Age Spiritualist Mission,35 Farview Crst,Ridgehaven,SA,5097,(08) 8264 9623,,,,,,50 998 202 157,Active,Entity Name,25% ABN Accuracy
Religious Organisations,New Life Christian Centre,105 Dyson Rd,Christies Beach,SA,5165,(08) 8384 4814,,,,,,37 407 781 196,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Northside Baptist Church,145 Nelson Rd,Para Vista,SA,5093,(08) 8263 0806,,,,,1978,24 318 383 986,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Northway Christian Centre,8 Coglin Rd,Elizabeth South,SA,5112,(08) 8255 8255,,,,,,21 849 861 186,Active,Entity Name,25% ABN Accuracy
Religious Organisations,OAC Ministries,Dorene St,St Marys,SA,5042,(08) 8374 4326,,,,,,59 000 275 829,Active,Entity Name,25% ABN Accuracy
Religious Organisations,OAC Ministries (Aust),9 Castlemain Hts,Leeming,WA,6149,(08) 9310 6220,,,,,,59 000 275 829,Active,Entity Name,25% ABN Accuracy
Religious Organisations,ONE Life Church,13-15 Ormsby Ave,Parafield Gardens,SA,5107,(08) 8258 3865,,pastorjeff.marshall@gmail.com,http://www.gardenschurch.org,,,93 833 865 791,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Order Of St Luke The Physician In Australia,112 100 Harold St,Wantirna,VIC,3152,,(03) 9837 5101,,,,,70 001 220 631,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Potters House Christian Centre Midland,12 Loton Ave,Midland,WA,6056,0424 463 549,,danivee@live.com.au,www.pottershousemidland.com,,,35 214 126 727,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Presbyterian Church In Western Australia,14 Broadway St,Bassendean,WA,6054,(08) 9248 3252,,,,,,88 617 816 558,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Presbyterian Church In Western Australia,,Bicton,WA,6157,(08) 9339 3542,,,,,,88 617 816 558,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Reach Community Church,Unit 2 177 Beavers Rd,Northcote,VIC,3070,(03) 9481 6889,,info@reachcc.org,www.reachcc.org,,,28 820 048 811,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Real Life Church,,suppressed,suppressed,,(08) 9398 7170,,rochelle@reallifechurchwa.com,http://REALLIFECHURCHWA.COM,,,65 217 939 953,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Rejoice Chinese Christian Communication Centre,Ste 7/ 2 Burwood Hwy,Burwood East,VIC,3151,(03) 9888 7422,,,,,,99 027 261 737,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Revival Fellowship Warrnambool,,Warrnambool,VIC,3280,(03) 5561 3834,,,,,,88 541 921 783,Active,Entity Name,25% ABN Accuracy
Religious Organisations,S A Zhulin Buddhist Association,151 May Tce,Ottoway,SA,5013,(08) 8447 4022,,,,,,97 409 763 363,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Sai Baba Organisation,83 Glenhuntly Rd,Elwood,VIC,3184,(03) 9772 6643,,,,,,98 679 526 281,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Saint Ignatius Centre,110 Elizabeth St,Richmond,VIC,3121,(03) 9428 1212,,,,,,72 005 269 554,Active,Business Name,25% ABN Accuracy
Religious Organisations,Salesian Society,25 Lipsett Tce,Brooklyn Park,SA,5032,(08) 8351 8072,,,,,,62 009 477 918,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Scripture Union Of Western Australia,82 Matlock St,Mt Hawthorn,WA,6016,(08) 9443 5055,,,,,,34 474 372 309,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Scripture Union Of Western Australia,7 Irvine St,Bayswater,WA,6053,(08) 9371 9100,,,www.suwa.org.au,,,34 474 372 309,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Seaford Ecumenical Mission,Cnr Main and Grand Boulevard,Seaford,SA,5169,(08) 8392 4522,,,,,,40 683 967 385,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Seventh Day Adventist Reform Movement,14 Gilbert Rd,Somerton Park,SA,5044,(08) 8376 0163,,,,,,82 496 201 901,Active,Entity Name (Historic),25% ABN Accuracy
Religious Organisations,Sikh Community Of Western Victoria,560 Davis Rd,Tarneit,VIC,3029,(03) 9748 1448,,,,,,97 090 225 458,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Social Policy Connections,34 Bedford St,Box Hill,VIC,3128,(03) 9890 1077,,admin@socialpolicyconnections.com.au,http://www.socialpolicyconnections.com.au/,,,97 387 847 085,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Society Of Christian Doctrine,4 Sandleheath Rd,Elizabeth Grove,SA,5112,(08) 8255 1991,,,,,,16 479 430 975,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Society Of St Pius X,19 Tynong Rd,Tynong,VIC,3813,(03) 5629 1045,,,,,,88 002 738 365,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Society Of St Pius X,40 Ludstone St,Hampton,VIC,3188,(03) 9598 3848,,,,,,88 002 738 365,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Sonlife Ministries Inc,Cnr McNabb Loop and Murray St,Como,WA,6152,(08) 9313 1600,,,www.sonlife.com.au,,,23 012 897 310,Active,Entity Name,25% ABN Accuracy
Religious Organisations,South Eastern Christian Centre,2- 8 Gleneagles Dr,Endeavour Hills,VIC,3802,(03) 9700 2314,,,secc.org.au,,,49 650 744 395,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Spiritual Assembly of the Baha'is of Stirling,,Tuart Hill,WA,6060,(08) 6103 8332,,,,,,66 040 026 087,Active,Entity Name,25% ABN Accuracy
Religious Organisations,St Bartholomews House,Swan Unit,Midland,WA,6056,(08) 9274 0888,,,,,,92 491 228 162,Active,Entity Name,25% ABN Accuracy
Religious Organisations,St Brigid's Catholic Church,13 High St,Healesville,VIC,3777,(03) 5962 4026,,,www.stbrigidshealesville.cam.org.au/,,,99 374 070 760,Active,Entity Name,25% ABN Accuracy
Religious Organisations,St Columban's Mission Society Office,69 Woodland St,Essendon,VIC,3040,(03) 9375 9475,,,www.columban.org.au,,,17 686 524 625,Active,Entity Name,25% ABN Accuracy
Religious Organisations,St Marks Community Centre,Cnr George and Moor Sts,Fitzroy,VIC,3065,(03) 9419 3288,,,,,,35 967 059 134,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Subud Melbourne,166-168 Elder St,Heatherton,VIC,3202,(03) 9551 4307,,,,,,54 320 269 704,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Tasmanian Council Of Churches,35 Tower Rd,New Town,TAS,7008,0499 016 969,,,,,,78 305 140 399,Active,Entity Name,25% ABN Accuracy
Religious Organisations,The Catholic Diocese of Broome,27 Robinson St,Broome,WA,6725,(08) 9192 1822,,,www.broomediocese.org/index.html,,,37 040 099 127,Active,Trading Name,25% ABN Accuracy
Religious Organisations,The Greek Orthodox Community Of SA,L 1 262-288 Franklin St,Adelaide,SA,5000,(08) 8231 4307,,,http://www.gocsa.org.au,,,39 650 504 515,Active,Trading Name,25% ABN Accuracy
Religious Organisations,The Sufi Movement In Australia Inc,16 Petronella Ave,Wheelers Hill,VIC,3150,(03) 9561 4861,,irenenuriadaly@iprimus.com.au,,,,65 200 668 712,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Theosophical Society,,suppressed,suppressed,,(08) 8223 1129,,,,,,76 487 580 644,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Tibetan Buddhist Society,1425 Mickleham Rd,Yuroke,VIC,3063,(03) 9333 1770,,contact@tushika.org,http://www.tibetanbuddhistsociety.org/,,,53 194 089 142,Active,Trading Name,25% ABN Accuracy
Religious Organisations,Tribunal Of The Catholic Church,383 Albert St,East Melbourne,VIC,3002,(03) 9639 4211,,,,,,39 028 643 733,Active,Trading Name,25% ABN Accuracy
Religious Organisations,Trinity North East,2-18 Golden Grove Rd,Modbury North,SA,5092,(08) 8395 5819,,admin@trinitynortheast.org.au,http://www.trinitynortheast.org.au,,,46 556 124 243,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Truth & Liberation Concern (Christian Community Church),265 Canterbury Rd,Bayswater North,VIC,3153,(03) 9729 6555,,,,,,76 587 071 524,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Uniting Care Wesley Adelaide,Kuitpo Community Admnstrn and Rehabilitation,Hope Forest,SA,5172,(08) 8556 7320,,,,,,33 174 490 373,Active,Other Name,25% ABN Accuracy
Religious Organisations,Victorian Council Of Christian Education,2A Chapel St,St Kilda,VIC,3182,(03) 9529 4377,,,,,,96 810 755 635,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Vietnamese Christian Community Incorporated,29 South Tce,Pooraka,SA,5095,(08) 8359 1229,,,,,,35 403 543 569,Active,Entity Name (Historic),25% ABN Accuracy
Religious Organisations,Watchtower Bible & Tract Society,758 Nepean Hwy,Mt Martha,VIC,3934,(03) 5973 6182,,,,,,42 002 861 225,Active,Entity Name,25% ABN Accuracy
Religious Organisations,West City Christian Church,86-88 Central Ave,Altona Meadows,VIC,3028,0413 001 703,,westcitychristianchurch@gmail.com,,,,29 995 453 295,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Whiteharvest,47 Bunny Rd,Clayton,VIC,3168,(03) 9558 1668,,,,,,41 539 367 761,Active,Trading Name,25% ABN Accuracy
Religious Organisations,Woman's Christian Temperance Union,Unit 17 4 Ventnor Ave,West Perth,WA,6005,(08) 9322 1648,,,,,,37 470 458 235,Active,Entity Name,25% ABN Accuracy
Religious Organisations,World to Christ International,,McKinnon,VIC,3204,0409 076 176,,wtciaus@gmail.com,http://www.wtci.org.au,,,96 802 114 776,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Youth For Christ,60 Victoria St,Warragul,VIC,3820,(03) 5623 5470,,,,,,75 034 537 271,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Brethren,81 Frederick St,Unley,SA,5061,0408 140 949,,,,,,21 095 356 700,Cancelled,Entity Name,25% ABN Accuracy
Religious Organisations,Catholic Communications,39 Wakefield St,Adelaide,SA,5000,(08) 8210 8117,,,,,,93 453 417 717,Cancelled,Entity Name,25% ABN Accuracy
Religious Organisations,CityLife Church,284 Thompsons Rd,Lower Templestowe,VIC,3107,(03) 9871 8300,,,,,,25 185 756 875,Cancelled,Trading Name,25% ABN Accuracy
Religious Organisations,Fruitful Vine Ministries,500 Kelletts Rd,Lysterfield,VIC,3156,(03) 9752 7767,,,http://www.fruitfulvine.org,,,14 086 906 381,Cancelled,Entity Name,25% ABN Accuracy
Religious Organisations,Lutheran Church,8 Clarence St,Lameroo,SA,5302,(08) 8576 3322,,,,,,74 195 858 811,Cancelled,Entity Name,25% ABN Accuracy
Religious Organisations,Mary MacKillop Centre,,Mt Eliza,VIC,3930,(03) 9787 1250,,retreat.mteliza@sosj.org.au,,,,49 167 462 561,Cancelled,Entity Name,25% ABN Accuracy
Religious Organisations,Mission Interlink,44 Rutland Rd,Box Hill,VIC,3128,(03) 9890 0644,,,,,,16 270 803 390,Cancelled,Trading Name,25% ABN Accuracy
Religious Organisations,Mission Travel,605 Camberwell Rd,Camberwell,VIC,3124,1300 554 654,,,http://www.missiontravel.com.au/,,,91 534 867 393,Cancelled,Other Name,25% ABN Accuracy
Religious Organisations,South American Missionary Society,149 Broadgully Rd,Diamond Creek,VIC,3089,(03) 9438 3050,,,,,,32 223 440 634,Cancelled,Entity Name,25% ABN Accuracy
Religious Organisations,Students for Christ Victoria & Tasmania,11- 17 Evans St,Burwood,VIC,3125,(03) 9808 1369,,,,,,30 754 803 649,Cancelled,Trading Name,25% ABN Accuracy
Religious Organisations,Sukyo Mahikari Australia,Hobart Centre 1st Floor Biggins Block Old Hobart High School,North Hobart,TAS,7000,(03) 6231 6435,,,,,,34 310 903 471,Cancelled,Entity Name,25% ABN Accuracy
Religious Organisations,Anglicare Tasmania Inc,6 Strahan St,South Burnie,TAS,7320,1800 243 232,,,,,,90 979 742 836,Active,Entity Name,50% ABN Accuracy
Religious Organisations,Assemblies Of God,114 Nollamara Ave,Nollamara,WA,6061,(08) 9344 3942,,,,,,16 231 783 503,Active,Entity Name,50% ABN Accuracy
Religious Organisations,Assembly Of God,65 Albert St,Sebastopol,VIC,3356,(03) 5336 1166,,office@citychurchballarat.com,http://www.citychurchballarat.com,,,60 909 571 262,Active,Trading Name,50% ABN Accuracy
Religious Organisations,Assembly Of God,88 Main Rd,Hepburn Springs,VIC,3461,(03) 5348 3492,,office@citychurchballarat.com,http://www.Citychurchballarat.com,,,60 909 571 262,Active,Trading Name,50% ABN Accuracy
Religious Organisations,Australian Christian Churches,300 Albert St,East Melbourne,VIC,3002,(03) 9896 7999,,,,,,58 123 514 361,Active,Entity Name,50% ABN Accuracy
Religious Organisations,Australian Fellowship Of Evangelical Students,29 Deepdean Ave,Mitchell Park,SA,5043,(08) 8276 9338,,,,,,91 509 626 599,Active,Entity Name,50% ABN Accuracy
Religious Organisations,Catholic Church,Golden Grove Rd,Greenwith,SA,5125,(08) 8289 7533,,,,,,45 373 620 104,Active,Business Name,50% ABN Accuracy
Religious Organisations,Catholic Church,Kentish Rd,Gawler Belt,SA,5118,(08) 8523 0088,,,,,,45 373 620 104,Active,Business Name,50% ABN Accuracy
Religious Organisations,Catholic Development Fund,65 Foster St,Sale,VIC,3850,(03) 5144 4311,,,,,,15 274 943 760,Active,Trading Name,50% ABN Accuracy
Religious Organisations,Catholic Development Fund,Cnr Yarra and Myer Sts,Geelong,VIC,3220,(03) 5222 1977,,,,,,15 274 943 760,Active,Trading Name,50% ABN Accuracy
Religious Organisations,Catholic Development Fund,160 Foster St,Dandenong,VIC,3175,(03) 9794 9520,,,,,,15 274 943 760,Active,Trading Name,50% ABN Accuracy
